name,affiliation,url
Stefan Schaal,USC,http://www-clmc.usc.edu/~sschaal/
Stefan Williams,University of Sidney,http://sydney.edu.au/engineering/people/stefan.williams.php
Vijay Kumar,University of Pennsylvania,http://web.mit.edu/vkumar/www/
Wolfram Burgard,University of Freiburg,http://www.informatik.uni-freiburg.de/~burgard/
Gregory Dudek,McGill University,http://www.cim.mcgill.ca/~dudek/
Oussama Khatib,Stanford University,http://robotics.stanford.edu/~ok/
Dieter Fox,University of Washington,http://homes.cs.washington.edu/~fox/
Matt Mason,Carnegie Mellon University,http://www.cs.cmu.edu/~mason/
Daniela Rus,MIT,http://people.csail.mit.edu/rus/
Leslie Kaelbling,MIT,http://people.csail.mit.edu/lpk/