sponsor_name,image,url
"Bosch","bosch.png",https://www.bosch.com/research/
"TRI","tri.png",http://www.tri.global/
"Lyft","lyft.png",https://www.lyft.com
"MERL","merl.jpg",http://www.merl.com
"ouster","ouster.png",http://www.ouster.io/
"DeepMind","deepmind.png",https://deepmind.com/
"Lockheed","lockheed.jpg",https://www.lockheedmartin.com/en-us/index.html
"SICK","sick.png",https://www.sick.com/de/en/
"iRobot","irobot.png",https://www.irobot.com
"Samsung","samsung.png",https://www.samsung.com
"Springer","springer.jpg",https://www.springer.com
"Nuro","nuro.png",https://nuro.ai/
"K&auml;rcher","kaercher.png",https://www.kaercher.com
"Siemens","siemens_large.png",https://new.siemens.com/
"Waymo","waymo.png",https://waymo.com/
"KUKA","kuka.png",https://kuka.com/
"amazonrobotics","amazon.png",https://www.amazonrobotics.com/#/